,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
1998,,,,,,2620.0,5706.0,29680.0,29624.0,13158.0,4178.0,2640.0,87606.0
1999,221.0,385.0,153.0,116.0,764.0,2401.0,5681.0,29133.0,24602.0,17826.0,4999.0,1782.0,88063.0
2000,133.0,202.0,463.0,123.0,1371.0,4848.0,2657.0,16813.0,15473.0,14525.0,6207.0,3310.0,66125.0
2001,228.0,733.0,1137.0,711.0,1283.0,7117.0,3715.0,23902.0,25897.0,19264.0,9054.0,4402.0,97443.0
2002,720.0,765.0,989.0,761.0,2769.0,8794.0,11661.0,53377.0,64827.0,35967.0,27519.0,10014.0,218163.0
2003,4139.0,1819.0,2208.0,1556.0,3539.0,11394.0,22480.0,40505.0,63683.0,33799.0,22282.0,14866.0,222270.0
2004,2356.0,958.0,1408.0,1542.0,5155.0,14493.0,24899.0,49930.0,91745.0,33323.0,31697.0,18139.0,275645.0
2005,4618.0,1427.0,967.0,1343.0,2881.0,5177.0,24071.0,73683.0,85108.0,37464.0,19488.0,7767.0,263994.0
2006,2444.0,1056.0,1095.0,897.0,1492.0,4602.0,10456.0,40473.0,60858.0,22717.0,20800.0,9218.0,176108.0
2007,2269.0,1879.0,1896.0,1254.0,2718.0,7552.0,11785.0,67774.0,101816.0,40605.0,17925.0,5921.0,263394.0
2008,1111.0,637.0,979.0,799.0,963.0,2975.0,8693.0,26274.0,34735.0,32389.0,18065.0,6873.0,134493.0
2009,1575.0,510.0,784.0,610.0,1038.0,2055.0,4764.0,13170.0,25876.0,22393.0,21596.0,6889.0,101260.0
2010,2060.0,1413.0,1636.0,1572.0,2529.0,5928.0,13228.0,67077.0,77294.0,21603.0,15105.0,6329.0,215774.0
2011,964.0,350.0,573.0,819.0,1227.0,2930.0,4846.0,12653.0,28347.0,14375.0,11715.0,8483.0,87282.0
2012,1370.0,576.0,766.0,998.0,1883.0,4169.0,8364.0,35263.0,40325.0,22694.0,14155.0,6087.0,136650.0
2013,1408.0,579.0,1063.0,889.0,1593.0,3195.0,5415.0,14780.0,24511.0,14873.0,8057.0,8658.0,85021.0
2014,1820.0,585.0,1216.0,1138.0,1687.0,4213.0,6427.0,29861.0,28729.0,21785.0,13923.0,8443.0,119827.0
2015,2611.0,1251.0,858.0,1153.0,1202.0,3610.0,5808.0,28589.0,40452.0,29112.0,19055.0,12665.0,146366.0
2016,4868.0,2188.0,2497.0,2049.0,2061.0,3831.0,12050.0,27391.0,28295.0,19771.0,13529.0,5516.0,124046.0
2017,1056.0,522.0,1121.0,1100.0,1792.0,3615.0,11779.0,27712.0,55994.0,20464.0,15711.0,8545.0,149411.0
2018,1720.0,992.0,1764.0,828.0,1909.0,3846.0,7572.0,15001.0,31140.0,13322.0,9948.0,2366.0,90408.0
2019,1852.0,1675.0,3943.0,2193.0,2141.0,4838.0,8567.0,39176.0,32602.0,11848.0,12948.0,4306.0,126089.0
2020,1702.0,1604.0,2294.0,1556.0,1798.0,4596.0,10639.0,39253.0,50631.0,24007.0,8367.0,4336.0,150783.0
2021,1141.0,1190.0,911.0,986.0,2679.0,4680.0,8214.0,35808.0,22660.0,15349.0,6666.0,1926.0,102210.0
2022,1557.0,847.0,776.0,805.0,4501.0,4978.0,8961.0,39346.0,48571.0,19108.0,12229.0,3422.0,145101.0
2023,1284.0,1013.0,1385.0,1268.0,3061.0,5731.0,9135.0,20850.0,33244.0,26366.0,17838.0,5782.0,126957.0
2024,2618.0,3552.0,3652.0,1648.0,3958.0,6440.0,15374.0,50469.0,61029.0,21964.0,15891.0,6105.0,192700.0
2025,1444.0,588.0,1087.0,563.0,2461.0,3895.0,4879.0,9989.0,13610.0,13504.0,4574.0,,56594.0
Máximo*,4868.0,3552.0,3943.0,2193.0,5155.0,14493.0,24899.0,73683.0,101816.0,40605.0,31697.0,18139.0,275645.0
Média*,1840.0,1104.0,1405.0,1104.0,2231.0,5208.0,10109.0,35109.0,45484.0,22966.0,14776.0,6844.0,147896.0
Mínimo*,133.0,202.0,153.0,116.0,764.0,2055.0,2657.0,12653.0,15473.0,11848.0,4178.0,1782.0,66125.0
