ano;safra_ocorrido;estado;regiao;tipo_desmatamento;qtd_ocorrencias;total_area_desmatada_km
2024;2024-07;AC;Norte;Corte Raso com Solo Exposto;12896;997,75
2024;2024-07;AC;Norte;Corte Raso com Vegetação;3492;195,36
2024;2024-07;AC;Norte;Desmatamento por Degradação Progressiva;2416;128,33
2024;2024-08;AC;Norte;Corte Raso com Solo Exposto;3572;286,81
2024;2024-08;AC;Norte;Corte Raso com Vegetação;828;31,87
2024;2024-08;AC;Norte;Desmatamento por Degradação Progressiva;160;5,28
2024;2024-07;AM;Norte;Corte Raso com Solo Exposto;6292;1560,45
2024;2024-07;AM;Norte;Corte Raso com Vegetação;1196;105,68
2024;2024-07;AM;Norte;Desmatamento por Degradação Progressiva;1360;166,95
2024;2024-07;AM;Norte;Mineração;40;2,04
2024;2024-08;AM;Norte;Corte Raso com Solo Exposto;13960;1754,58
2024;2024-08;AM;Norte;Corte Raso com Vegetação;1816;93,28
2024;2024-08;AM;Norte;Desmatamento por Degradação Progressiva;4840;722,66
2024;2024-08;AM;Norte;Mineração;612;35,97
2024;2024-08;AP;Norte;Corte Raso com Solo Exposto;1240;49,69
2024;2024-08;AP;Norte;Corte Raso com Vegetação;1056;17,63
2024;2024-08;AP;Norte;Desmatamento por Degradação Progressiva;572;36,31
2024;2024-08;AP;Norte;Mineração;768;14,05
2024;2024-07;MA;Nordeste;Corte Raso com Solo Exposto;860;45,38
2024;2024-07;MA;Nordeste;Corte Raso com Vegetação;248;9,67
2024;2024-07;MA;Nordeste;Desmatamento por Degradação Progressiva;204;8,1
2024;2024-07;MA;Nordeste;Mineração;8;0,25
2024;2024-08;MA;Nordeste;Corte Raso com Solo Exposto;4132;381,26
2024;2024-08;MA;Nordeste;Corte Raso com Vegetação;2120;114,2
2024;2024-08;MA;Nordeste;Desmatamento por Degradação Progressiva;1044;88,25
2024;2024-07;MT;Centro-Oeste;Corte Raso com Solo Exposto;2568;631,53
2024;2024-07;MT;Centro-Oeste;Corte Raso com Vegetação;412;257,53
2024;2024-07;MT;Centro-Oeste;Desmatamento por Degradação Progressiva;2016;1322,03
2024;2024-07;MT;Centro-Oeste;Mineração;76;1,98
2024;2024-08;MT;Centro-Oeste;Corte Raso com Solo Exposto;5720;1086,04
2024;2024-08;MT;Centro-Oeste;Corte Raso com Vegetação;836;156,02
2024;2024-08;MT;Centro-Oeste;Desmatamento por Degradação Progressiva;4296;1574,22
2024;2024-08;MT;Centro-Oeste;Floresta Inundada;8;0,81
2024;2024-08;MT;Centro-Oeste;Mineração;404;71,01
2024;2024-07;PA;Norte;Corte Raso com Solo Exposto;18060;1558,54
2024;2024-07;PA;Norte;Corte Raso com Vegetação;9352;704,26
2024;2024-07;PA;Norte;Desmatamento por Degradação Progressiva;3936;537,71
